device,time,OpCode
Slave,2022-03-13 07:26:21.315248,send_SMP_0x0B
Slave,2022-03-13 07:26:21.327763,end_send_SMP_0x0B
Master,2022-03-13 07:26:21.624512,recv_SMP_0x0B
Master,2022-03-13 07:26:21.625097,end_recv_SMP_0x0B
Master,2022-03-13 07:26:21.625819,send_SMP_0x01
Master,2022-03-13 07:26:21.633885,end_send_SMP_0x01
Slave,2022-03-13 07:26:21.639575,recv_SMP_0x01
Slave,2022-03-13 07:26:21.657667,end_recv_SMP_0x01
Slave,2022-03-13 07:26:21.659223,send_SMP_0x02
Slave,2022-03-13 07:26:21.660469,end_send_SMP_0x02
Master,2022-03-13 07:26:21.811191,recv_SMP_0x02
Master,2022-03-13 07:26:21.824244,end_recv_SMP_0x02
Master,2022-03-13 07:26:21.825198,send_SMP_0x0C
Master,2022-03-13 07:26:21.826264,end_send_SMP_0x0C
Slave,2022-03-13 07:26:21.895059,recv_SMP_0x0C
Slave,2022-03-13 07:26:21.911121,end_recv_SMP_0x0C
Slave,2022-03-13 07:26:21.913122,send_SMP_0x0C
Slave,2022-03-13 07:26:21.916497,end_send_SMP_0x0C
Slave,2022-03-13 07:26:22.229039,recv_SMP_0x03
Slave,2022-03-13 07:26:22.238509,end_recv_SMP_0x03
Slave,2022-03-13 07:26:22.240164,send_SMP_0x03
Slave,2022-03-13 07:26:22.254056,end_send_SMP_0x03
Master,2022-03-13 07:26:22.359158,recv_SMP_0x0C
Master,2022-03-13 07:26:22.365270,end_recv_SMP_0x0C
Master,2022-03-13 07:26:22.373149,send_SMP_0x03
Master,2022-03-13 07:26:22.376193,end_send_SMP_0x03
Slave,2022-03-13 07:26:22.391964,recv_SMP_0x04
Slave,2022-03-13 07:26:22.410736,end_recv_SMP_0x04
Slave,2022-03-13 07:26:22.412428,send_SMP_0x04
Slave,2022-03-13 07:26:22.415361,end_send_SMP_0x04
Master,2022-03-13 07:26:22.574306,recv_SMP_0x03
Slave,2022-03-13 07:26:22.579081,recv_SMP_0x03
Master,2022-03-13 07:26:22.581247,end_recv_SMP_0x03
Master,2022-03-13 07:26:22.589581,send_SMP_0x04
Slave,2022-03-13 07:26:22.589863,end_recv_SMP_0x03
Master,2022-03-13 07:26:22.592338,end_send_SMP_0x04
Slave,2022-03-13 07:26:22.592622,send_SMP_0x03
Slave,2022-03-13 07:26:22.603214,end_send_SMP_0x03
Master,2022-03-13 07:26:22.727522,recv_SMP_0x04
Slave,2022-03-13 07:26:22.740128,recv_SMP_0x04
Master,2022-03-13 07:26:22.745292,end_recv_SMP_0x04
Master,2022-03-13 07:26:22.752971,send_SMP_0x03
Slave,2022-03-13 07:26:22.760254,end_recv_SMP_0x04
Slave,2022-03-13 07:26:22.762408,send_SMP_0x04
Master,2022-03-13 07:26:22.763852,end_send_SMP_0x03
Slave,2022-03-13 07:26:22.766275,end_send_SMP_0x04
Slave,2022-03-13 07:26:22.929099,recv_SMP_0x03
Slave,2022-03-13 07:26:22.938697,end_recv_SMP_0x03
Master,2022-03-13 07:26:22.938951,recv_SMP_0x03
Slave,2022-03-13 07:26:22.941455,send_SMP_0x03
Master,2022-03-13 07:26:22.945246,end_recv_SMP_0x03
Master,2022-03-13 07:26:22.951833,send_SMP_0x04
Slave,2022-03-13 07:26:22.953115,end_send_SMP_0x03
Master,2022-03-13 07:26:22.953391,end_send_SMP_0x04
Slave,2022-03-13 07:26:23.089112,recv_SMP_0x04
Master,2022-03-13 07:26:23.089854,recv_SMP_0x04
Slave,2022-03-13 07:26:23.110118,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.112149,send_SMP_0x04
Master,2022-03-13 07:26:23.112419,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.118293,end_send_SMP_0x04
Master,2022-03-13 07:26:23.118576,send_SMP_0x03
Master,2022-03-13 07:26:23.119954,end_send_SMP_0x03
Slave,2022-03-13 07:26:23.329066,recv_SMP_0x03
Slave,2022-03-13 07:26:23.338191,end_recv_SMP_0x03
Master,2022-03-13 07:26:23.338488,recv_SMP_0x03
Slave,2022-03-13 07:26:23.340232,send_SMP_0x03
Master,2022-03-13 07:26:23.345308,end_recv_SMP_0x03
Master,2022-03-13 07:26:23.351276,send_SMP_0x04
Slave,2022-03-13 07:26:23.353222,end_send_SMP_0x03
Master,2022-03-13 07:26:23.353513,end_send_SMP_0x04
Slave,2022-03-13 07:26:23.489118,recv_SMP_0x04
Master,2022-03-13 07:26:23.489389,recv_SMP_0x04
Slave,2022-03-13 07:26:23.512237,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.512578,send_SMP_0x04
Master,2022-03-13 07:26:23.512788,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.514474,end_send_SMP_0x04
Master,2022-03-13 07:26:23.514701,send_SMP_0x03
Master,2022-03-13 07:26:23.519271,end_send_SMP_0x03
Slave,2022-03-13 07:26:23.679116,recv_SMP_0x03
Slave,2022-03-13 07:26:23.688182,end_recv_SMP_0x03
Master,2022-03-13 07:26:23.689082,recv_SMP_0x03
Slave,2022-03-13 07:26:23.690134,send_SMP_0x03
Master,2022-03-13 07:26:23.695287,end_recv_SMP_0x03
Master,2022-03-13 07:26:23.701268,send_SMP_0x04
Slave,2022-03-13 07:26:23.703142,end_send_SMP_0x03
Master,2022-03-13 07:26:23.704013,end_send_SMP_0x04
Slave,2022-03-13 07:26:23.839114,recv_SMP_0x04
Master,2022-03-13 07:26:23.839363,recv_SMP_0x04
Slave,2022-03-13 07:26:23.860135,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.862141,send_SMP_0x04
Master,2022-03-13 07:26:23.862538,end_recv_SMP_0x04
Slave,2022-03-13 07:26:23.864160,end_send_SMP_0x04
Master,2022-03-13 07:26:23.864577,send_SMP_0x03
Master,2022-03-13 07:26:23.873690,end_send_SMP_0x03
